month,name,age,description,image,link
4,Chris Bailey,65,Vocalista da banda punk australiana The Saints,https://imagens.publico.pt/imagens.aspx/1685395?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/11/culturaipsilon/noticia/morreu-chris-bailey-vocalista-banda-punk-australiana-the-saints-2002100
4,Mimi Reinhardt,107,Secretária que dactilografou a lista de Schindler,https://imagens.publico.pt/imagens.aspx/1685529?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/11/impar/noticia/morreu-mimi-reinhardt-secretaria-schindler-dactilografou-celebre-lista-2002173
4,Letizia Battaglia,87,A fotógrafa que retratou o sangue da Cosa Nostra,https://imagens.publico.pt/imagens.aspx/1686754?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/14/culturaipsilon/noticia/morreu-letizia-battaglia-fotografa-retratou-sangue-derramado-cosa-nostra-resgatou-sombra-mulheres-sicilianas-2002578
4,Eunice Muñoz,93,"Actriz de corpo, alma e coração",https://imagens.publico.pt/imagens.aspx/1687022?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/15/culturaipsilon/noticia/morreu-eunice-munoz-1972821
4,Jordan Mooney,66,Rainha e primeiro rosto do punk,https://imagens.publico.pt/imagens.aspx/1687232?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/17/culturaipsilon/noticia/jordan-mooney-19552022-sex-pistol-original-rainha-rosto-punk-2002381
4,Madalena Sá e Costa,106,Violoncelista e pedagoga,https://imagens.publico.pt/imagens.aspx/1687416?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/18/culturaipsilon/noticia/morreu-madalena-sa-costa-herdeira-transmissora-paixao-musica-erudita-2002860
4,Harrison Birtwistle,87,Figura marcante da criação contemporânea europeia,https://imagens.publico.pt/imagens.aspx/1687518?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/18/culturaipsilon/noticia/morreu-compositor-britanico-harrison-birtwistle-2002923
4,Nicholas Angelich,51,Intérprete de relevo da música clássica,https://imagens.publico.pt/imagens.aspx/1687627?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/19/culturaipsilon/noticia/morreu-pianista-norteamericano-nicholas-angelich-2002973
4,Radu Lupu,76,Compositor e pianista romeno reputado,https://imagens.publico.pt/imagens.aspx/1687850?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/19/culturaipsilon/noticia/morreu-pianista-romeno-radu-lupu-2003083
4,Hermann Nitsch,83,"Pintor, escritor, músico, dramaturgo e cenógrafo",https://imagens.publico.pt/imagens.aspx/1689474?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/24/culturaipsilon/noticia/hermann-nitsch-19382022-artista-visceral-2003480
4,Marcus Leatherdale,69,Fotógrafo da cena artística nova-iorquina dos anos 80,https://imagens.publico.pt/imagens.aspx/1689573?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/24/culturaipsilon/noticia/morreu-marcus-leatherdale-fotografo-cena-artistica-novaiorquina-anos-80-2003671
4,Klaus Schulze,74,Pioneiro das electrónicas cósmicas alemãs,https://imagens.publico.pt/imagens.aspx/1690839?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/28/culturaipsilon/noticia/morreu-klaus-schulze-pioneiro-electronicas-cosmicas-alemas-2004140
4,Neal Adams,80,O desenhador que nos revelou a verdadeira face de Batman,https://imagens.publico.pt/imagens.aspx/1691723?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/04/30/culturaipsilon/noticia/morreu-neal-adams-desenhador-revelou-verdadeira-face-batman-2004430
4,Ursula Bellugi,91,Mãe da neurobiologia da língua gestual americana,https://imagens.publico.pt/imagens.aspx/1691342?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/01/impar/noticia/ursula-bellugi-19312022-mae-neurobiologia-lingua-gestual-americana-2004275
4,Ron Galella,91,O fotógrafo que foi esmurrado por Marlon Brando,https://imagens.publico.pt/imagens.aspx/1692663?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/03/culturaipsilon/noticia/morreu-ron-gallela-fotografo-tornou-famoso-retratar-famosos-vontade-2004794
4,Peter Moore,78,O homem que revolucionou a cultura das sapatilhas,https://imagens.publico.pt/imagens.aspx/1695839?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/15/desporto/noticia/peter-moore-19442022-homem-revolucionou-cultura-sapatilhas-2006082
5,Titina,75,Uma das grandes vozes da música de Cabo Verde,https://imagens.publico.pt/imagens.aspx/1693941?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/07/culturaipsilon/noticia/ultimo-adeus-titina-19472022-menina-oiro-mindelo-cantou-bleza-2005317
5,Régine,92,Pioneira das discotecas modernas,https://imagens.publico.pt/imagens.aspx/1693762?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/08/sociedade/noticia/regine-19292022-rainha-noite-2005174
5,Campos Coroa,67,Antigo presidente que subiu a Académica há 20 anos,https://imagens.publico.pt/imagens.aspx/1694430?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/09/desporto/noticia/faleceu-campos-coroa-antigo-presidente-subiu-academica-ha-20-anos-2005490
5,Paulo Gil,84,Um dos “históricos” do jazz em Portugal,https://imagens.publico.pt/imagens.aspx/1695358?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/12/culturaipsilon/noticia/morreu-paulo-gil-19372022-historicos-jazz-portugal-2005938
5,Teresa Berganza,89,A meio-soprano que cantou sempre o que mais amou,https://imagens.publico.pt/imagens.aspx/1695739?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/13/culturaipsilon/noticia/morreu-mezzosoprano-teresa-berganza-2006074
5,João Rendeiro,69,O banqueiro que não venceu os mercados,https://imagens.publico.pt/imagens.aspx/1695928?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/13/economia/noticia/rendeiro-banqueiro-nao-venceu-mercados-2006139
5,Jerónimo Pimentel,65,Jornalista que fez parte da equipa fundadora do PÚBLICO,https://imagens.publico.pt/imagens.aspx/1695984?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2022/05/13/politica/noticia/morreu-jornalista-jeronimo-pimentel-fundador-publico-2006155
